Agency,Geographic Unit,Geographic Identifier,Indicator,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019
DOB,Community District,Brooklyn 18,Number of Priority B (nonemergency) complaints received,1183,1043,939,1085,984,972,1171,1174,1237
DOB,Community District,Brooklyn 17,Number of Priority B (nonemergency) complaints received,1073,960,782,932,1037,1289,1411,1482,1561
DOB,Community District,Brooklyn 16,Number of Priority B (nonemergency) complaints received,528,550,378,376,503,539,613,710,526
DOB,Community District,Brooklyn 15,Number of Priority B (nonemergency) complaints received,1358,1496,1290,1280,1227,1353,1474,1588,1577
DOB,Community District,Brooklyn 14,Number of Priority B (nonemergency) complaints received,1139,1140,1028,1175,1177,1575,1570,1545,1614
DOB,Community District,Brooklyn 13,Number of Priority B (nonemergency) complaints received,692,760,1000,850,917,1057,881,769,974
DOB,Community District,Brooklyn 12,Number of Priority B (nonemergency) complaints received,1329,1220,1034,1192,1197,1419,1399,1460,1382
DOB,Community District,Brooklyn 11,Number of Priority B (nonemergency) complaints received,1296,1282,1032,1230,1244,1331,1401,1721,1440
DOB,Community District,Brooklyn 10,Number of Priority B (nonemergency) complaints received,1044,987,893,1169,1357,1569,1807,2285,1804
DOB,Community District,Brooklyn 9,Number of Priority B (nonemergency) complaints received,704,726,642,641,709,970,1120,1474,1247
DOB,Community District,Brooklyn 8,Number of Priority B (nonemergency) complaints received,726,853,816,805,894,1113,1051,1172,1038
DOB,Community District,Brooklyn 7,Number of Priority B (nonemergency) complaints received,959,945,823,1064,962,1163,1234,1379,1187
DOB,Community District,Brooklyn 6,Number of Priority B (nonemergency) complaints received,907,970,1026,1131,1001,1094,1200,1302,1052
DOB,Community District,Brooklyn 5,Number of Priority B (nonemergency) complaints received,1696,1266,1196,1328,1409,1803,1531,1920,1640
DOB,Community District,Brooklyn 4,Number of Priority B (nonemergency) complaints received,1240,1131,1061,1258,1150,1264,1291,1375,1687
DOB,Community District,Brooklyn 3,Number of Priority B (nonemergency) complaints received,1655,1444,1464,1778,1825,2034,1867,2245,1895
DOB,Community District,Brooklyn 2,Number of Priority B (nonemergency) complaints received,930,980,915,1124,1077,1220,1130,1349,1272
DOB,Community District,Brooklyn 1,Number of Priority B (nonemergency) complaints received,1781,1785,1862,2022,1774,2193,2132,2385,2049
DOB,Community District,Bronx 12,Number of Priority B (nonemergency) complaints received,1059,1032,866,958,961,950,892,1121,1131
DOB,Community District,Bronx 11,Number of Priority B (nonemergency) complaints received,911,794,730,825,860,978,894,936,1107
DOB,Community District,Bronx 10,Number of Priority B (nonemergency) complaints received,706,620,609,629,692,720,955,1059,910
DOB,Community District,Bronx 9,Number of Priority B (nonemergency) complaints received,1014,1045,887,907,1028,1185,1165,1332,1190
DOB,Community District,Bronx 8,Number of Priority B (nonemergency) complaints received,585,546,586,501,497,671,619,921,743
DOB,Community District,Bronx 7,Number of Priority B (nonemergency) complaints received,944,901,714,976,971,986,1080,1182,1092
DOB,Community District,Bronx 6,Number of Priority B (nonemergency) complaints received,543,467,404,471,467,431,577,718,639
DOB,Community District,Bronx 5,Number of Priority B (nonemergency) complaints received,952,796,693,772,828,870,1012,1415,1288
DOB,Community District,Bronx 4,Number of Priority B (nonemergency) complaints received,895,796,876,905,812,1221,1285,1398,1522
DOB,Community District,Bronx 3,Number of Priority B (nonemergency) complaints received,433,348,284,441,329,398,368,593,644
DOB,Community District,Bronx 2,Number of Priority B (nonemergency) complaints received,420,392,290,281,329,374,480,480,422
DOB,Community District,Bronx 1,Number of Priority B (nonemergency) complaints received,524,381,370,460,528,520,524,840,737
DOB,Community District,Manhattan 12,Number of Priority B (nonemergency) complaints received,1263,1064,1023,1142,1355,1336,1496,1474,1631
DOB,Community District,Manhattan 11,Number of Priority B (nonemergency) complaints received,700,620,559,622,724,722,810,883,871
DOB,Community District,Manhattan 10,Number of Priority B (nonemergency) complaints received,909,976,944,1020,1045,1276,1162,1335,1664
DOB,Community District,Manhattan 9,Number of Priority B (nonemergency) complaints received,711,719,802,865,860,1034,843,1139,1175
DOB,Community District,Manhattan 8,Number of Priority B (nonemergency) complaints received,1193,1129,1104,1222,1325,1387,1308,1495,1403
DOB,Community District,Manhattan 7,Number of Priority B (nonemergency) complaints received,1244,1430,1289,1563,1595,1690,1692,1826,1774
DOB,Community District,Manhattan 6,Number of Priority B (nonemergency) complaints received,767,839,796,993,972,1085,1082,1381,1098
DOB,Community District,Manhattan 5,Number of Priority B (nonemergency) complaints received,992,1035,1020,1040,1042,1201,1298,2005,1370
DOB,Community District,Manhattan 4,Number of Priority B (nonemergency) complaints received,1069,987,1074,1042,1291,1563,1428,1685,1368
DOB,Community District,Manhattan 3,Number of Priority B (nonemergency) complaints received,1228,1153,1298,1419,1342,1559,1350,1469,1351
DOB,Community District,Manhattan 2,Number of Priority B (nonemergency) complaints received,1277,1192,1255,1357,1170,1388,1182,1492,1156
DOB,Community District,Manhattan 1,Number of Priority B (nonemergency) complaints received,475,534,601,695,606,608,716,928,667
DOB,Community District,Staten Island 3,Number of Priority A (emergency) complaints received,105,104,124,125,118,128,154,142,150
DOB,Community District,Staten Island 2,Number of Priority A (emergency) complaints received,102,149,184,117,122,152,160,161,159
DOB,Community District,Staten Island 1,Number of Priority A (emergency) complaints received,269,244,226,242,259,306,249,261,268
DOB,Community District,Queens 14,Number of Priority A (emergency) complaints received,188,217,300,196,176,195,209,239,199
DOB,Community District,Queens 13,Number of Priority A (emergency) complaints received,224,190,230,206,129,176,190,252,167
DOB,Community District,Queens 12,Number of Priority A (emergency) complaints received,382,393,271,256,308,346,394,467,370
DOB,Community District,Queens 11,Number of Priority A (emergency) complaints received,305,223,179,152,155,175,142,133,182
DOB,Community District,Queens 10,Number of Priority A (emergency) complaints received,215,210,141,154,193,170,181,158,127
DOB,Community District,Queens 9,Number of Priority A (emergency) complaints received,337,346,260,190,180,166,201,198,195
DOB,Community District,Queens 8,Number of Priority A (emergency) complaints received,195,189,185,156,161,172,197,207,172
DOB,Community District,Queens 7,Number of Priority A (emergency) complaints received,641,472,371,338,345,401,394,402,335
DOB,Community District,Queens 6,Number of Priority A (emergency) complaints received,204,204,128,144,129,190,107,115,106
DOB,Community District,Queens 5,Number of Priority A (emergency) complaints received,260,263,195,194,234,241,271,270,322
DOB,Community District,Queens 4,Number of Priority A (emergency) complaints received,214,199,137,120,133,182,161,149,158
DOB,Community District,Queens 3,Number of Priority A (emergency) complaints received,286,265,133,175,164,169,157,180,200
DOB,Community District,Queens 2,Number of Priority A (emergency) complaints received,219,257,254,226,252,308,290,338,258
DOB,Community District,Queens 1,Number of Priority A (emergency) complaints received,399,354,315,351,405,423,347,440,440
DOB,Community District,Brooklyn 18,Number of Priority A (emergency) complaints received,195,199,188,243,206,171,243,248,252
DOB,Community District,Brooklyn 17,Number of Priority A (emergency) complaints received,221,162,135,177,201,233,367,356,363
DOB,Community District,Brooklyn 16,Number of Priority A (emergency) complaints received,141,151,133,121,163,170,170,140,203
DOB,Community District,Brooklyn 15,Number of Priority A (emergency) complaints received,325,361,313,247,306,290,275,257,275
DOB,Community District,Brooklyn 14,Number of Priority A (emergency) complaints received,284,238,228,289,234,341,286,328,335
DOB,Community District,Brooklyn 13,Number of Priority A (emergency) complaints received,162,187,202,163,181,190,214,195,222
DOB,Community District,Brooklyn 12,Number of Priority A (emergency) complaints received,312,299,268,245,373,369,365,392,338
DOB,Community District,Brooklyn 11,Number of Priority A (emergency) complaints received,224,246,198,179,188,214,210,278,226
DOB,Community District,Brooklyn 10,Number of Priority A (emergency) complaints received,237,242,231,207,203,283,393,333,229
DOB,Community District,Brooklyn 9,Number of Priority A (emergency) complaints received,152,177,117,173,237,334,239,234,281
DOB,Community District,Brooklyn 8,Number of Priority A (emergency) complaints received,232,284,282,291,312,442,326,348,333
DOB,Community District,Brooklyn 7,Number of Priority A (emergency) complaints received,299,242,232,239,279,372,297,278,352
DOB,Community District,Brooklyn 6,Number of Priority A (emergency) complaints received,367,345,369,398,364,481,513,402,442
DOB,Community District,Brooklyn 5,Number of Priority A (emergency) complaints received,235,225,233,285,252,342,286,388,421
DOB,Community District,Brooklyn 4,Number of Priority A (emergency) complaints received,291,260,290,347,375,389,373,448,395
DOB,Community District,Brooklyn 3,Number of Priority A (emergency) complaints received,526,425,527,668,812,994,850,805,794
DOB,Community District,Brooklyn 2,Number of Priority A (emergency) complaints received,355,345,353,520,603,512,462,490,548
DOB,Community District,Brooklyn 1,Number of Priority A (emergency) complaints received,609,511,630,788,708,888,838,713,862
DOB,Community District,Bronx 12,Number of Priority A (emergency) complaints received,159,153,135,168,210,192,201,191,222
DOB,Community District,Bronx 11,Number of Priority A (emergency) complaints received,150,147,106,128,128,112,114,120,113
DOB,Community District,Bronx 10,Number of Priority A (emergency) complaints received,134,107,109,112,105,108,145,140,138
DOB,Community District,Bronx 9,Number of Priority A (emergency) complaints received,169,155,150,153,144,146,144,142,190
DOB,Community District,Bronx 8,Number of Priority A (emergency) complaints received,136,125,103,120,116,126,137,120,148
DOB,Community District,Bronx 7,Number of Priority A (emergency) complaints received,200,179,135,146,138,177,176,185,169
DOB,Community District,Bronx 6,Number of Priority A (emergency) complaints received,135,113,74,111,102,115,119,118,134
DOB,Community District,Bronx 5,Number of Priority A (emergency) complaints received,165,180,136,118,122,135,136,163,185
DOB,Community District,Bronx 4,Number of Priority A (emergency) complaints received,213,167,167,151,182,201,179,176,196
DOB,Community District,Bronx 3,Number of Priority A (emergency) complaints received,131,98,83,68,87,99,92,118,128
DOB,Community District,Bronx 2,Number of Priority A (emergency) complaints received,81,76,72,46,61,65,83,59,70
DOB,Community District,Bronx 1,Number of Priority A (emergency) complaints received,167,92,87,138,96,144,134,150,139
DOB,Community District,Manhattan 12,Number of Priority A (emergency) complaints received,296,248,307,303,308,371,304,258,262
DOB,Community District,Manhattan 11,Number of Priority A (emergency) complaints received,186,195,205,209,199,249,190,246,228
DOB,Community District,Manhattan 10,Number of Priority A (emergency) complaints received,210,301,334,292,303,337,288,325,327
DOB,Community District,Manhattan 9,Number of Priority A (emergency) complaints received,180,220,237,164,201,216,223,208,256
DOB,Community District,Manhattan 8,Number of Priority A (emergency) complaints received,335,365,413,444,480,504,458,487,488
DOB,Community District,Manhattan 7,Number of Priority A (emergency) complaints received,312,433,474,443,423,474,418,459,585
DOB,Community District,Manhattan 6,Number of Priority A (emergency) complaints received,211,240,274,294,404,330,312,352,280
DOB,Community District,Manhattan 5,Number of Priority A (emergency) complaints received,376,441,498,421,551,585,484,522,582
DOB,Community District,Manhattan 4,Number of Priority A (emergency) complaints received,359,333,436,375,564,605,503,465,489
DOB,Community District,Manhattan 3,Number of Priority A (emergency) complaints received,355,381,488,434,572,586,442,412,448
DOB,Community District,Manhattan 2,Number of Priority A (emergency) complaints received,401,410,512,523,491,474,445,442,469
DOB,Community District,Manhattan 1,Number of Priority A (emergency) complaints received,249,220,263,301,297,262,299,303,305
DOT,Community District,Staten Island 3,Streets maintained with a pavement rating of Good (%),62.6521,62.1017,60.97,59.5039,62.26,63.03,68.12,70.71,NA
DOT,Community District,Staten Island 2,Streets maintained with a pavement rating of Good (%),55.642,61.6858,58.36,57.5749,59.38,52.5,56.53,62.45,NA
DOT,Community District,Staten Island 1,Streets maintained with a pavement rating of Good (%),58.1172,60.8667,59.49,60.0938,59.88,56.97,65.78,64.74,NA
DOT,Community District,Queens 9,Streets maintained with a pavement rating of Good (%),68.1805,68.573,70.43,65.181,64.14,62.39,64.42,61.48,NA
DOT,Community District,Queens 8,Streets maintained with a pavement rating of Good (%),68.5681,70.7129,68.31,62.9296,69.36,62.86,65.36,67.99,NA
DOT,Community District,Queens 7,Streets maintained with a pavement rating of Good (%),65.8048,66.835,62.63,64.5864,68.94,64.31,62.86,64.62,NA
DOT,Community District,Queens 6,Streets maintained with a pavement rating of Good (%),67.4251,68.0448,68.63,70.2096,69.55,66.65,74.08,78.49,NA
DOT,Community District,Queens 5,Streets maintained with a pavement rating of Good (%),75.502,72.7822,70.24,74.0068,73.86,71.65,69.5,62.36,NA
DOT,Community District,Queens 4,Streets maintained with a pavement rating of Good (%),70.1428,70.857,71.81,74.8277,76.41,74.36,69.03,66.08,NA
DOT,Community District,Queens 3,Streets maintained with a pavement rating of Good (%),69.4612,66.6346,67.99,72.0437,78.53,79.22,77.78,74.29,NA
DOT,Community District,Queens 2,Streets maintained with a pavement rating of Good (%),58.3755,59.288,62.46,62.5144,66.39,62.4,65.74,60.06,NA
DOT,Community District,Queens 14,Streets maintained with a pavement rating of Good (%),73.5937,74.0918,73.18,63.8085,64.82,61.8,63.73,65.45,NA
DOT,Community District,Queens 13,Streets maintained with a pavement rating of Good (%),74.5225,76.6247,72.58,68.6002,73.72,69.57,69.68,67.26,NA
DOT,Community District,Queens 12,Streets maintained with a pavement rating of Good (%),75.1278,79.8787,74.51,75.6839,76.3,76.87,72.04,74.79,NA
DOT,Community District,Queens 11,Streets maintained with a pavement rating of Good (%),70.6266,70.9756,70.02,70.3415,69.73,67.44,69.65,69.03,NA
DOT,Community District,Queens 10,Streets maintained with a pavement rating of Good (%),76.4333,76.4797,76.92,73.5587,72.36,69.89,69.77,65.41,NA
DOT,Community District,Queens 1,Streets maintained with a pavement rating of Good (%),64.2747,66.4502,66.48,66.0937,73.07,63.58,66.97,58.5,NA
DOT,Community District,Manhattan 9,Streets maintained with a pavement rating of Good (%),45.8797,34.0582,43.32,54.5074,63.89,67.38,70.28,71.13,NA
DSNY,Community District,Queens 2,Sidewalks rated filthy (%),0.4,0.60,0.6,0.7,0.6569,0.1983,0.0403,0.2271,NA
DOT,Community District,Manhattan 8,Streets maintained with a pavement rating of Good (%),47.9571,56.5576,53.66,48.1068,56.22,57.78,69,75.2,NA
DOT,Community District,Manhattan 7,Streets maintained with a pavement rating of Good (%),58.003,59.5233,60.18,57.1831,68.4,70.72,75.07,70.75,NA
DOT,Community District,Manhattan 6,Streets maintained with a pavement rating of Good (%),60.7254,60.3226,60.26,63.4631,70.88,73.05,73.9,73.77,NA
DOT,Community District,Manhattan 5,Streets maintained with a pavement rating of Good (%),61.7678,70.5414,66.87,63.5591,59.16,65.2,70.07,64.79,NA
DOT,Community District,Manhattan 4,Streets maintained with a pavement rating of Good (%),51.806,61.9148,55.07,51.5765,69.31,67.65,66.19,72.01,NA
DOT,Community District,Manhattan 3,Streets maintained with a pavement rating of Good (%),51.7665,55.66,62,55.1368,63.71,64.02,67.87,68.39,NA
DOT,Community District,Manhattan 2,Streets maintained with a pavement rating of Good (%),63.1313,63.68,62.64,55.0621,64.86,64.38,65.01,67.64,NA
DOT,Community District,Manhattan 12,Streets maintained with a pavement rating of Good (%),55.1771,61.2208,57.9,44.0529,66.57,69.18,69.92,62.22,NA
